iter	RMSE
700	0.09479606385
701	0.09463807041
702	0.0944803403
703	0.09432287307
704	0.09416566828
705	0.09400872551
706	0.0938520443
707	0.09369562423
708	0.09353946486
709	0.09338356576
710	0.09322792648
711	0.09307254661
712	0.0929174257
713	0.09276256333
714	0.09260795906
715	0.09245361247
716	0.09229952311
717	0.09214569058
718	0.09199211443
719	0.09183879424
720	0.09168572959
721	0.09153292004
722	0.09138036518
723	0.09122806458
724	0.09107601781
725	0.09092422445
726	0.09077268408
727	0.09062139627
728	0.09047036061
729	0.09031957668
730	0.09016904406
731	0.09001876232
732	0.08986873106
733	0.08971894984
734	0.08956941826
735	0.0894201359
736	0.08927110234
737	0.08912231718
738	0.08897377998
739	0.08882549035
740	0.08867744787
741	0.08852965213
742	0.08838210271
743	0.08823479921
744	0.08808774122
745	0.08794092832
746	0.08779436011
747	0.08764803618
748	0.08750195612
749	0.08735611953
750	0.087210526
751	0.08706517513
752	0.08692006651
753	0.08677519973
754	0.0866305744
755	0.08648619011
756	0.08634204647
757	0.08619814306
758	0.08605447949
759	0.08591105536
760	0.08576787027
761	0.08562492383
762	0.08548221562
763	0.08533974527
764	0.08519751236
765	0.08505551651
766	0.08491375732
767	0.08477223439
768	0.08463094734
769	0.08448989576
770	0.08434907927
771	0.08420849748
772	0.08406814999
773	0.0839280364
774	0.08378815635
775	0.08364850942
776	0.08350909524
777	0.08336991342
778	0.08323096357
779	0.0830922453
780	0.08295375823
781	0.08281550197
782	0.08267747613
783	0.08253968034
784	0.08240211421
785	0.08226477736
786	0.0821276694
787	0.08199078995
788	0.08185413864
789	0.08171771508
790	0.08158151889
791	0.08144554969
792	0.08130980711
793	0.08117429077
794	0.08103900029
795	0.08090393529
796	0.0807690954
797	0.08063448025
798	0.08050008945
799	0.08036592264
800	0.08023197944
801	0.08009825947
802	0.07996476238
803	0.07983148778
804	0.0796984353
805	0.07956560458
806	0.07943299524
807	0.07930060692
808	0.07916843924
809	0.07903649185
810	0.07890476436
811	0.07877325642
812	0.07864196767
813	0.07851089772
814	0.07838004623
815	0.07824941282
816	0.07811899714
817	0.07798879881
818	0.07785881748
819	0.07772905279
820	0.07759950437
821	0.07747017187
822	0.07734105492
823	0.07721215316
824	0.07708346624
825	0.0769549938
826	0.07682673548
827	0.07669869093
828	0.07657085978
829	0.07644324168
830	0.07631583628
831	0.07618864322
832	0.07606166215
833	0.07593489272
834	0.07580833457
835	0.07568198735
836	0.0755558507
837	0.07542992429
838	0.07530420775
839	0.07517870074
840	0.07505340291
841	0.07492831391
842	0.07480343339
843	0.074678761
844	0.0745542964
845	0.07443003924
846	0.07430598918
847	0.07418214587
848	0.07405850896
849	0.07393507812
850	0.07381185299
851	0.07368883324
852	0.07356601852
853	0.07344340849
854	0.07332100281
855	0.07319880114
856	0.07307680314
857	0.07295500847
858	0.0728334168
859	0.07271202777
860	0.07259084106
861	0.07246985633
862	0.07234907324
863	0.07222849145
864	0.07210811063
865	0.07198793045
866	0.07186795057
867	0.07174817066
868	0.07162859037
869	0.07150920939
870	0.07139002738
871	0.071271044
872	0.07115225893
873	0.07103367184
874	0.07091528239
875	0.07079709025
876	0.0706790951
877	0.07056129662
878	0.07044369446
879	0.0703262883
880	0.07020907782
881	0.0700920627
882	0.0699752426
883	0.06985861719
884	0.06974218617
885	0.06962594919
886	0.06950990595
887	0.06939405611
888	0.06927839935
889	0.06916293535
890	0.0690476638
891	0.06893258436
892	0.06881769672
893	0.06870300056
894	0.06858849556
895	0.06847418141
896	0.06836005777
897	0.06824612435
898	0.06813238081
899	0.06801882684
900	0.06790546213
901	0.06779228637
902	0.06767929923
903	0.0675665004
904	0.06745388956
905	0.06734146642
906	0.06722923064
907	0.06711718193
908	0.06700531996
909	0.06689364443
910	0.06678215502
911	0.06667085144
912	0.06655973335
913	0.06644880047
914	0.06633805247
915	0.06622748905
916	0.0661171099
917	0.06600691472
918	0.0658969032
919	0.06578707503
920	0.06567742991
921	0.06556796753
922	0.06545868758
923	0.06534958977
924	0.06524067379
925	0.06513193934
926	0.06502338611
927	0.0649150138
928	0.06480682211
929	0.06469881075
930	0.0645909794
931	0.06448332777
932	0.06437585556
933	0.06426856247
934	0.0641614482
935	0.06405451245
936	0.06394775494
937	0.06384117535
938	0.06373477339
939	0.06362854877
940	0.06352250119
941	0.06341663036
942	0.06331093598
943	0.06320541775
944	0.06310007539
945	0.0629949086
946	0.06288991709
947	0.06278510056
948	0.06268045873
949	0.0625759913
950	0.06247169799
951	0.06236757849
952	0.06226363253
953	0.06215985981
954	0.06205626005
955	0.06195283295
956	0.06184957823
957	0.0617464956
958	0.06164358478
959	0.06154084547
960	0.0614382774
961	0.06133588027
962	0.06123365381
963	0.06113159772
964	0.06102971173
965	0.06092799554
966	0.06082644889
967	0.06072507147
968	0.06062386302
969	0.06052282325
970	0.06042195188
971	0.06032124863
972	0.06022071322
973	0.06012034537
974	0.06002014479
975	0.05992011122
976	0.05982024437
977	0.05972054397
978	0.05962100973
979	0.05952164138
980	0.05942243865
981	0.05932340125
982	0.05922452892
983	0.05912582137
984	0.05902727834
985	0.05892889955
986	0.05883068472
987	0.05873263358
988	0.05863474586
989	0.05853702128
990	0.05843945958
991	0.05834206048
992	0.05824482372
993	0.05814774902
994	0.0580508361
995	0.05795408471
996	0.05785749457
997	0.05776106542
998	0.05766479698
999	0.05756868898
